"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"DATO:
DATI ANALITICI CORPI IDRICI FLUVIALI","","FONTE DATI:
ARPA Lombardia","ANNO DI RIFERIMENTO:
2018","","Sostanze Perfluoroalchiliche 
– PFAS – ","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"BACINO IDROGRAFICO","CORSO D'ACQUA","CORPO IDRICO","PROVINCIA","COMUNE","COORD X","COORD Y","Codice Stazione","DATA CAMPIONAMENTO","SOSTANZA","CAS","UM","CONCENTRAZIONE"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","8/2/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,66"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","8/2/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","15.000"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","8/2/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","8/2/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","8/2/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,024"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","8/2/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,041"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","8/2/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","0,02"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","8/2/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","8/2/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,315"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","8/2/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,014"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","8/2/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,156"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","8/2/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","11/27/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","11/27/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,009"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","11/27/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","11/27/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","11/27/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","11/27/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,012"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","11/27/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","11/27/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","11/27/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,013"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","11/27/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,017"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","11/27/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,007"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","IT03N008044002013LO","MI","Rho","501549","5041408","N008044002013lo1","11/27/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","3/6/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,023"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","3/6/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,101"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","3/6/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","3/6/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","3/6/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","3/6/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,037"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","3/6/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","3/6/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","3/6/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,02"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","3/6/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,004"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","3/6/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,011"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","3/6/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","5/30/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,007"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","5/30/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,113"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","5/30/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","5/30/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","5/30/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","5/30/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,029"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","5/30/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","5/30/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","5/30/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,015"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","5/30/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0061"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","5/30/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,014"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","5/30/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","7/25/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,074"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","7/25/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,193"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","7/25/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","7/25/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","7/25/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,015"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","7/25/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,048"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","7/25/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","7/25/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","0,008"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","7/25/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,038"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","7/25/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0048"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","7/25/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,057"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","7/25/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","9/13/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","9/13/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,23"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","9/13/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","0,011"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","9/13/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","9/13/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,024"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","9/13/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,055"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","9/13/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","9/13/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","0,007"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","9/13/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,04"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","9/13/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,012"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","9/13/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,047"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","9/13/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","10/18/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,043"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","10/18/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,147"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","10/18/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","10/18/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","10/18/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,022"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","10/18/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,052"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","10/18/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","10/18/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","0,011"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","10/18/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,033"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","10/18/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,009"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","10/18/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,04"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","10/18/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","11/15/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","11/15/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,059"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","11/15/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","11/15/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","11/15/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,007"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","11/15/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,027"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","11/15/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","11/15/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","11/15/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,02"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","11/15/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0034"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","11/15/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,026"
"SEVESO","Seveso (Torrente)","IT03N008001091014LO","MI","PADERNO DUGNANO","514224","5042753","N008001091014lo1","11/15/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","3/8/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","3/8/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","3/8/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","3/8/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","3/8/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","3/8/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","3/8/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","3/8/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","3/8/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","3/8/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,004"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","3/8/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","3/8/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","6/6/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","6/6/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","6/6/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","6/6/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","6/6/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","6/6/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","6/6/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","6/6/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","6/6/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080984IR","MI","Abbiategrasso","489058","5023529","N0080984ir1","6/6/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0033"
